ID;NAME;START_NODE_ID;END_NODE_ID;SEG_TYPE_ID;DEFAULT_LENGTH;AVG_DURATION;VISIBLE
11886;602_Ponte de Moreira_Araujo;1546;41;1;2020;1;Y
8023;401_Campo 24 Agosto_Antas;183;8;1;1930;1;Y
8025;401_Antas_Corujeira;8;177;1;1110;1;Y
8026;401_Corujeira_Antas;177;8;1;1240;1;Y
8027;401_Corujeira_S.Roque;177;7;1;2610;1;Y
12325;603_Parada_Hospital de S.Joao;115;1486;1;4220;12;Y
8031;201_Praca da Galiza_Boavista;19;4;1;750;5;Y
12326;603_Hospita de S.Joao_Marques;1486;9;1;4320;15;Y
8033;201_Boavista_Fonte da Moura;4;3;1;3040;13;Y
8035;201_Fonte da Moura_Viso;3;2;1;2940;10;Y
8036;201_Viso_Fonte da Moura;2;3;1;2960;10;Y
12405;507_Cordoaria_Boavista;18;4;1;2400;13;Y
12406;507_Boavista_Cordoaria;4;18;1;3050;13;Y
8045;502_Bolhao_Praca da Republica;23;72;1;1020;1;Y
8046;502_Praca da Republica_Bolhao;72;23;1;900;1;Y
12407;507_Boavista_Rotunda AEP;4;52;1;3500;10;Y
8048;502_Boavista_Praca da Republica;4;72;1;1660;1;Y
12408;507_Rotunda AEP_Boavista;52;4;1;2900;10;Y
8050;502_Pinheiro Manso_Boavista;305;4;1;2060;1;Y
8051;502_Pinheiro Manso_Castelo do Queijo;305;15;1;3070;1;Y
8052;502_Castelo do Queijo_Pinheiro Manso;15;305;1;3200;1;Y
11488;Fonte da Moura_UOF;3;11;2;2100;1;Y
11565;205_Areosa_Hospital de S.Joao Exterior;27;1486;1;1460;1;Y
8055;506_Hospital de S.Joao_S.Mamede;28;39;1;3140;1;Y
8058;506_S.Mamede_Padrao da Legua;39;606;1;2140;1;Y
8059;506_Padrao da Legua_S.Mamede;606;39;1;2360;1;Y
11405;801_Bolhao_Campo 24 Agosto;82;183;1;2000;1;Y
11406;801_Campo 24 Agosto_Bolhao;183;82;1;2000;1;Y
8089;600_Amial-Ponte da Pedra;73;74;1;2490;1;Y
8090;600_Ponte da Pedra_Amial;74;73;1;2290;1;Y
11487;UOF_Fonte da Moura;11;3;2;5000;1;Y
