ID;NAME;EMPTY;TYPE_VALUE;OLD_TYPE_VALUE
1612866;904_Aliados_Coimbroes Sul;N;0;0
1612867;904_Coimbroes Sul_Aliados;N;0;0
179230;904_Batalha_Coimbroes;N;0;0
1612868;905_Aliados_Monte da Virgem;N;0;0
1612869;905_Monte da Virgem_Aliados;N;0;0
177490;UOM_Carmo;Y;1;0
177491;Carmo-UOM;Y;1;0
179231;904_Coimbroes_Batalha;N;0;0
1612886;600_Aliados_Vale Formoso;N;0;0
1613226;UOF_Ponte Luiz I;N;1;0
1613227;Ponte Luiz I_UOF;N;1;0
178190;200_Praca da Galiza_Castelo do Queijo;N;0;0
178191;200_Castelo do Queijo_Galiza;N;0;0
151990;UON_Alto da Maia;Y;1;0
152870;UON_Parada;N;1;0
152873;UOF_Castelo do Queijo;N;1;0
152874;Castelo do Queijo_UOF;N;1;0
178212;305_Bolhao_Hospital de S.Joao;N;0;0
178213;305_Hospital de S.Joao_Bolhao;N;0;0
178710;Lidador_UOF;Y;1;0
153051;Rotunda da AEP_UOF;Y;1;0
153050;UOF_Rotunda da AEP;Y;1;0
139103;UON_Castelo do Queijo;Y;1;0
179050;Bolhao Mercado_UOF;Y;1;0
179051;UOF_Bolhao Mercado;Y;1;0
135733;UOM_Massarelos;N;1;0
135734;Massarelos_UOM;N;1;0
61775;UOF_Lidador;N;1;0
140001;UOF_Cordoaria;N;1;0
114861;Bom Sucesso_UOF;Y;1;0
151608;UOF_Aeroporto;N;1;0
151609;Aeroporto_UOF;N;1;0
147270;Castelo do Queijo_UON;N;1;0
155490;Monte dos Burgos_UOF;N;1;0
156551;UON_S.Roque;N;1;0
156552;S.Roque_UON;N;1;0
175890;Gondomar_UON;Y;1;0
179031;Maia Barca_UOF;Y;1;0
176030;UON_Codiceira;Y;1;0
179030;Bairro de Stº Eugenio_UON;Y;1;0
179790;302_Aliados_Campo 24 de Agosto;N;0;0
179791;302_Campo 24 de Agosto_Aliados;N;0;0
179792;302_Campo 24 de Agosto-Boavista;N;0;0
179793;302_Boavista_Campo 24 de Agosto;N;0;0
179794;302_Campo 24 Agosto_Campo 24 Agosto;N;0;0
179796;303_Praca_Campo 24 de Agosto;N;0;0
179797;303_Campo 24 de Agosto_Praça;N;0;0
179798;303_Campo 24 Agosto_Campo 24 Agosto;N;0;0
169972;S.Roque_UOF;Y;1;0
169768;UON_Campanha;Y;1;0
169769;Campanha_UON;Y;1;0
170489;Leca_UOF;Y;1;0
171088;UON_Bolhao;Y;1;0
171089;UON_Ermesinde;Y;1;0
171090;Ermesinde_UON;Y;1;0
171210;Cordoaria _UON;Y;1;0
171211;UON_Cordoaria;Y;1;0
171348;UON_Santo Ovidio;Y;1;0
171449;Campanha_UOF;Y;1;0
171648;Codiceira_UON;Y;1;0
176010;UON_Coimbroes;Y;1;0
176011;Coimbroes_UON;Y;1;0
176550;UOF_Campanha;Y;1;0
179110;UON_Bairro de Santo Eugenio;Y;1;0
176970;UOF_Cabo do Mundo;Y;1;0
176971;Cabo do Mundo_UOF;Y;1;0
177032;UOF_Fonte da Moura;Y;1;0
177033;Fonte da Moura_UOF;Y;1;0
178810;Rio Tinto_UON;Y;1;0
177130;UOF_Leca;Y;1;0
177572;UOF_Estadio do Dragao;Y;1;0
172168;94M_95M_Praca_Praca;N;0;0
177573;Estadio do Dragao_UOF;Y;1;0
172350;701_Bolhao_Codiceira;N;0;0
172351;701_Codiceira_Bolhao;N;0;0
172352;702_Bolhao_Travagem;N;0;0
172353;702_Travagem_Bolhao;N;0;0
172388;402_Bom Sucesso_S.Roque;N;0;0
