ID;PATH_VERSION_ID;STOP_ID;ZONE_ID
75436;4008100;1346;2
75437;4008100;1298;2
75438;4008100;1296;2
75441;4008080;1296;2
75442;4008080;1295;2
75443;4008080;1359;2
75444;4008080;1209;2
75445;4008080;1194;2
75446;4008080;1644;2
75447;4008080;1217;2
75448;4008080;1219;2
75449;4008080;40;2
75450;4008080;1237;2
75451;4008080;344;2
75452;4008080;335;2
75453;4008080;2164;2
75454;4008080;2166;2
75455;4008080;2168;2
75456;4008080;1264;2
75457;4008080;1262;2
75458;4008080;2182;2
63910;1024827;225;2
63911;1024827;221;2
63912;1024827;1686;2
63913;1024827;241;2
55741;1026163;1756;2
55742;1026163;1773;2
55743;1026163;1775;2
55744;1026163;1762;2
55745;1026163;1788;2
55746;1026163;1790;2
55747;1026163;1792;2
55748;1026163;1794;2
55749;1026163;2552;2
55750;1026163;2554;2
55751;1026163;2556;2
55752;1026163;2557;2
63914;1024827;243;2
63915;1024827;245;2
63916;1024827;1700;2
63917;1024827;1709;2
63918;1024827;1711;2
63919;1024827;373;2
63920;1024827;1724;2
63921;1024827;1728;2
63922;1024827;1730;2
63923;1024827;1732;2
63924;1024827;1756;2
63925;1024827;1773;2
63926;1024827;1775;2
63927;1024827;1797;2
63928;1024827;1798;2
63929;1024827;1800;2
63930;1024828;1800;2
63931;1024828;1799;2
63932;1024828;1787;2
63933;1024828;1776;2
63934;1024828;1774;2
63935;1024828;1777;2
63936;1024828;1733;2
63937;1024828;1731;2
63938;1024828;1729;2
63939;1024828;1725;2
68761;4007301;2118;2
68762;4007301;1557;2
68763;4007301;361;2
68764;4007301;337;2
68765;4007301;1605;2
68766;4007301;1596;2
68767;4007301;1604;2
68768;4007301;1571;2
68769;4007301;1575;2
68770;4007301;1577;2
68771;4007301;99;2
68772;4007301;97;2
68773;4007301;95;2
68774;4007301;21;2
69261;4007380;1246;2
69262;4007380;1549;2
69263;4007380;1561;2
69264;4007380;1565;2
69265;4007380;1611;2
69266;4007380;2124;2
69267;4007380;2127;2
69268;4007380;1852;2
69269;4007380;1638;2
69270;4007380;1640;2
69271;4007380;1642;2
69272;4007380;1478;2
69273;4007380;1500;2
69274;4007380;1502;2
63940;1024828;366;2
63941;1024828;1712;2
63942;1024828;1710;2
63943;1024828;1690;2
63944;1024828;242;2
63945;1024828;244;2
63946;1024828;240;2
63947;1024828;1687;2
63948;1024828;222;2
63949;1024828;227;2
63950;1024828;952;2
63951;1024828;938;2
63952;1024828;955;2
19326;1025856;1108;1
19327;1025856;1113;1
19328;1025856;1116;1
19329;1025856;1118;1
19330;1025856;1120;1
19331;1025856;1122;1
19332;1025856;1998;1
19333;1025856;1996;1
19334;1025856;1993;1
19335;1025856;2352;1
19336;1025856;1990;1
19337;1025856;1991;2
19338;1025856;1092;2
19339;1025856;149;2
19340;1025856;168;2
19341;1025856;147;2
19342;1025856;140;2
19343;1025856;152;2
63953;1024828;925;2
63954;1024828;898;2
63955;1024828;882;2
63956;1024828;852;2
63957;1024828;843;2
