ID;NAME;EMPTY;TYPEVALUE;OLD_TYPEVALUE
4005840;Restaur_EOrienteBV;N;0;0
4005841;EOriente_RestaurBV;N;0;0
1024827;MPombal=MoscavL;N;0;0
1024828;MoscavL=MPombal;N;0;0
4005940;CruzPedra_CruzPedra;N;0;0
4006060;SRios_SRios58B;N;0;0
4005942;CruzPedra_Pt(Est);Y;1;0
4005943;Pt(Est)_CruzPedra;Y;1;0
4006200;Prazeres=MMonizVGraca;N;0;0
4006220;Estrela=MMonizVGraca;N;0;0
4006640;Pt(Est)_PUAjuda;Y;1;0
4006580;MMoniz=MMoniz-RMadal;N;0;0
1024837;CSodre_OdivB;N;0;0
1024838;OdivB_CSodre;N;0;0
1024839;CSodre=SRoubado;N;0;0
1024840;SRoubado=CSodre;N;0;0
1024853;CSodre_Aerop;N;0;0
1024854;Aerop_CSodre;N;0;0
1024873;Olaias_Junqueira;N;0;0
1024874;Junqueira_Olaias;N;0;0
1024875;Areeiro_Junqueira;N;0;0
1024893;AChapel_Charneca;N;0;0
1024894;Charneca_AChapel;N;0;0
1024913;ADamaia_Mf(Est)MP;N;2;0
1024933;PFigueir_AlgesJ;N;0;0
1024934;AlgesJ_PFigueir;N;0;0
1024953;Amoreiras_Portela;N;0;0
1024954;Portela_Amoreiras;N;0;0
4006641;PUAjuda_Pt(Est);Y;1;0
4006700;Alameda_CStClara;N;0;0
4006701;CStClara_Alameda;N;0;0
4006880;CGrandeM=ReboleirM-ED;N;0;0
1024977;CGrandeM_COurique;N;0;0
1024978;COurique_CGrandeM;N;0;0
4006881;ReboleirM=CGrandeM-ED;N;0;0
1024993;PBispo_SRios;N;0;0
1024994;SRios_PBispo;N;0;0
1025013;Marvila_ERoma-Ar;N;0;0
1025014;ERoma-Ar_Marvila;N;0;0
1025093;EStApoln_AlcantM;N;0;0
1025094;AlcantM_EStApoln;N;0;0
152;Mf(Est)_COurique;Y;1;0
153;COurique_Mf(Est);Y;1;0
189;Pt(Est)_CemBenf;Y;1;0
190;CemBenf_Pt(Est);Y;1;0
191;CMPatria_Pt(Est);Y;1;0
328;Pt(Est)_CMPatria;Y;1;0
480;CMilitM_Pt(Est);Y;1;0
481;Pt(Est)_CMilitM;Y;1;0
483;BPCruz_Pt(Est);Y;1;0
484;Pt(Est)_BPCruz;Y;1;0
1284;Pt(Est)_EDamaia;Y;1;0
1287;EDamaia_Pt(Est);Y;1;0
653;EStApoln_Mf(Est);Y;1;0
654;Mf(Est)_EStApoln;Y;1;0
655;EDamaia_Mf(Est);Y;1;0
656;Mf(Est)_EDamaia;Y;1;0
12666;BelemP_PUAjuda;N;0;0
12668;BelemP_Pt(Est);Y;1;0
12669;Pt(Est)_BelemP;Y;1;0
1025759;SSueste_EOriente;N;0;0
1035;Mf(Est)_MMoniz;Y;1;0
1037;Mf(Est)_PComerc;Y;1;0
1038;Mf(Est)_StAmaro;Y;1;0
1039;MMoniz_Mf(Est);Y;1;0
1025761;Mg(Est)_SSueste;Y;1;0
1025913;CMilitM_AlfragN;N;0;0
12725;Mg(Est)_PBispo;Y;1;0
1025914;AlfragN_CMilitM;N;0;0
12727;PBispo_Mg(Est);Y;1;0
12734;Pt(Est)_SBento;Y;1;0
12735;Pt(Est)_GFreire;Y;1;0
12736;SBento_Pt(Est);Y;1;0
12737;GFreire_Pt(Est);Y;1;0
12740;MPombal_CREst;Y;1;0
12742;CREst_MPombal;Y;1;0
1608;Mf(Est)_Caselas;Y;1;0
1609;HStMaria_Mf(Est);Y;1;0
1610;Mf(Est)_HStMaria;Y;1;0
1538;Caselas_Mf(Est);Y;1;0
1695;PBenfica_Pt(Est);Y;1;0
1696;Pt(Est)_PBenfica;Y;1;0
1867;Pt(Est)_CPequeno;Y;1;0
1868;CPequeno_Pt(Est);Y;1;0
1869;Pt(Est)_AlfragBZ;Y;1;0
1870;AlfragBZ_Pt(Est);Y;1;0
1871;Pt(Est)_SRios;Y;1;0
1872;SRios_Pt(Est);Y;1;0
1873;Pt(Est)_PontinhR;Y;1;0
1874;PontinhR_Pt(Est);Y;1;0
2137;Pt(Est)_AlfragN;Y;1;0
2138;Pt(Est)_Benfica;Y;1;0
2139;AlfragN_Pt(Est);Y;1;0
2140;Benfica_Pt(Est) ;Y;1;0
47124;PComerc_Mf(Est);Y;1;0
2225;CREst_PBispo;Y;1;0
2388;CREst_PVelho;Y;1;0
2389;PVelho_CREst;Y;1;0
2352;Mg(Est)_MMoniz;Y;1;0
2353;MMoniz_Mg(Est);Y;1;0
2372;CREst_EStApoln;Y;1;0
2373;EStApoln_CREst;Y;1;0
2398;CSodre_CREst;Y;1;0
3264;CREst_Portela;Y;1;0
3266;Portela_CREst;Y;1;0
12228;Pt(Est)_Picheleir;Y;1;0
12229;Pt(Est)_PJFontana;Y;1;0
12230;Picheleir_Pt(Est);Y;1;0
12231;PJFontana_Pt(Est);Y;1;0
12234;Mg(Est)_HStMaria;Y;1;0
3678;CREst_CSodre;Y;1;0
12235;HStMaria_Mg(Est);Y;1;0
12273;Castelo_PFigueir;N;0;0
12274;PFigueir_Castelo;N;0;0
12275;Pt(Est)_PFigueir;Y;1;0
12276;PFigueir_Pt(Est);Y;1;0
4983;CGrandeM_Mg(Est);Y;1;0
4985;OdivB_Mg(Est);Y;1;0
4986;Mg(Est)_OdivB;Y;1;0
4249;Mg(Est)_BMDeus;Y;1;0
4250;BMDeus_Mg(Est);Y;1;0
4251;Mg(Est)_CasAjuda;Y;1;0
4252;CasAjuda_Mg(Est);Y;1;0
4261;Mg(Est)_COurique;Y;1;0
4685;CSodre_Mg(Est);Y;1;0
4686;Mg(Est)_CSodre;Y;1;0
36614;PChile_Mg(Est);Y;1;0
36615;EOriente_CREst;Y;1;0
36616;CREst_EOriente;Y;1;0
6692;Charneca_Mg(Est);Y;1;0
6693;Mg(Est)_Charneca;Y;1;0
7334;PChile_Pt(Est);Y;1;0
7327;Mf(Est)_Alges;Y;1;0
7328;Mf(Est)_Desterro;Y;1;0
7331;Alges_Mf(Est);Y;1;0
7341;MPombal_Mf(Est);Y;1;0
5364;Mg(Est)_CGrandeM;Y;1;0
12433;PFigueir_Mf(Est);Y;1;0
12434;Mf(Est)_PFigueir;Y;1;0
12452;Mf(Est)_LVelha;Y;1;0
12453;LVelha_Mf(Est);Y;1;0
12459;Mf(Est)_CentroN;Y;1;0
12460;CentroN_Mf(Est);Y;1;0
12461;PJFontana_CentroS;N;0;0
12462;CentroS_PJFontana;N;0;0
12463;CentroS_MPombal;N;0;0
12464;Mf(Est)_CentroS;Y;1;0
12465;CentroS_Mf(Est);Y;1;0
12630;Mg(Est)_Olaias;Y;1;0
12631;Mg(Est)_Junqueira;Y;1;0
12632;Olaias_Mg(Est);Y;1;0
12633;Junqueira_Mg(Est);Y;1;0
4003340;ERoma-Ar_Restelo;N;0;0
4004702;CREst_AmendM;Y;1;0
12636;Pt(Est)_DamaiaC;Y;1;0
12637;DamaiaC_Pt(Est);Y;1;0
12638;CMilitM_CemBenf;N;0;0
6530;Mf(Est)_Outurela;Y;1;0
6531;Outurela_Mf(Est);Y;1;0
12639;CemBenf_CMilitM;N;0;0
7342;CSodre_Mf(Est);Y;1;0
7343;Pt(Est)_MoscavC;Y;1;0
7346;MoscavC_Pt(Est);Y;1;0
7347;Pt(Est)_PontinhC;Y;1;0
7350;PontinhC_Pt(Est);Y;1;0
7366;CGrandeM_Galinheir;N;0;0
7368;Desterro_Mf(Est);Y;1;0
7471;GFreire_Mf(Est);Y;1;0
7489;Alges_CQuebrada;N;0;0
7490;CQuebrada_Alges;N;0;0
7495;PComerc_Pt(Est);Y;1;0
7496;Pt(Est)_PComerc;Y;1;0
7688;Mf(Est)_AlcantM;Y;1;0
7689;AlcantM_Mf(Est);Y;1;0
7712;Mf(Est)_GFreire;Y;1;0
7715;Mf(Est)_MPombal;Y;1;0
4003342;Restelo=BelemP;N;0;0
4003343;BelemP_Restelo;N;0;0
12187;SerafinaI_Pt(Est);Y;1;0
12189;Pt(Est)_SerafinaI;Y;1;0
12190;Pt(Est)_BStCruz;Y;1;0
12191;BStCruz_Pt(Est);Y;1;0
8651;Mf(Est)_Restelo;Y;1;0
8652;Restelo_Mf(Est);Y;1;0
1025597;SA(Est)_RConceic;Y;1;0
1025598;RConceic_SA(Est);Y;1;0
12193;Mg(Est)_Fetais;Y;1;0
12194;Fetais_Mg(Est);Y;1;0
4004703;AmendM_CREst;Y;1;0
12196;Mg(Est)_ISEL;Y;1;0
12197;ISEL_Mg(Est);Y;1;0
12198;COurique_Mg(Est);Y;1;0
12202;EOriente_PVelho;N;0;0
12203;PVelho_EOriente;N;0;0
4004560;Aerop_Aerop91;N;0;0
1025599;Prazeres_PLCamoes;N;0;0
12212;ERoma-Ar_Mg(Est);Y;1;0
12213;Mg(Est)_ERoma-Ar;Y;1;0
1025600;PLCamoes_SA(Est);Y;1;0
1025601;SA(Est)_PLCamoes;Y;1;0
12216;MPombal_Mg(Est);Y;1;0
4004561;Aerop_Aerop96;N;0;0
9674;Mf(Est)_CSodre;Y;1;0
12747;Galinheir_CGrandeM;N;0;0
12748;Galinheir_Mg(Est);Y;1;0
12749;Mg(Est)_Galinheir;Y;1;0
13080;Mg(Est)_PChile;Y;1;0
30206;CGrandeM_Galinheir-V;Y;1;0
1025637;SA(Est)_StAmaro;Y;1;0
15703;Mf(Est)_CQuebrada;Y;1;0
4003347;MPombal_CaselasSts;N;0;0
4003360;ERoma-Ar=Caselas;N;0;0
16155;Mg(Est)_Picheleir;Y;1;0
4003600;V-Lavra_RCamPestn;Y;1;0
4003601;V-RCamPestn_Lavra;Y;1;0
16158;Picheleir_Mg(Est);Y;1;0
17333;Alges_Pt(Est);Y;1;0
4003602;V-Lavra_LAnunciad;Y;1;0
4003603;V-LAnunciad_Lavra;Y;1;0
4004500;MPombal_Restelo;N;0;0
4004501;Restelo_MPombal;N;0;0
4004700;CREst_VFormoso;Y;1;0
4004701;VFormoso_CREst;Y;1;0
4006720;Pt(Est)_CStClara;Y;1;0
4006721;CStClara_Pt(Est);Y;1;0
17954;CSanto_Mf(Est);Y;1;0
24669;Mg(Est)_MPombal;Y;1;0
23173;Calhariz_Pt(Est);Y;1;0
23175;Pt(Est)_Calhariz;Y;1;0
36793;EOriente_Pt(Est);Y;1;0
36794;Pt(Est)_EOriente;Y;1;0
22742;PJFontana_Mf(Est);Y;1;0
22743;Mf(Est)_PJFontana;Y;1;0
23506;CGrandeM_Pt(Est);Y;1;0
23507;Pt(Est)_CGrandeM;Y;1;0
23614;Calvario_Mg(Est);Y;1;0
29513;Mg(Est)_PontinhM;Y;1;0
29514;PontinhM_Mg(Est);Y;1;0
