ID;NAME;SHORT_NAME;LATITUDE;LONGITUDE;LABEL_POS;VISIBLE;ACTIVE;CODE
758;R. Bombeiros Voluntarios Dafundo;R. Bombeiros Voluntarios Dafundo;38,7003517150879;-9,24699401855469;T;Y;Y;14902
759;Dafundo - R. 1º Maio;Dafundo - R. 1º Maio;38,7006301879883;-9,24471282958984;T;Y;Y;14903
760;Dafundo - R. 1º Maio;Dafundo - R. 1º Maio;38,7007293701172;-9,24474334716797;T;Y;Y;14904
761;Dafundo;Dafundo;38,7001419067383;-9,24044609069824;T;Y;Y;14905
762;Dafundo;Dafundo;38,7002792358398;-9,24092388153076;T;Y;Y;14906
763;Aquario Vasco Gama;Aquario Vasco Gama;38,6991806030273;-9,23748970031738;T;Y;Y;14907
764;Aquario Vasco Gama;Aquario Vasco Gama;38,699268;-9,237516;T;Y;Y;14908
765;B.º Azul (Gulbenkian);B.º Azul (Gulbenkian);38,7367095947266;-9,15580368041992;T;Y;Y;1501
766;B.º Azul (Gulbenkian);B.º Azul (Gulbenkian);38,7365303039551;-9,1559362411499;T;Y;Y;1502
767;Pc. Espanha / Av. Berna;Pc. Espanha / Av. Berna;38,7387390136719;-9,15403938293457;T;Y;Y;1503
768;Pc. Espanha / Av. Berna;Pc. Espanha / Av. Berna;38,7377891540527;-9,15554809570313;T;Y;Y;1504
769;Pc. Espanha;Pc. Espanha;38,7380905151367;-9,15984630584717;T;Y;Y;1505
770;Pc. Espanha;Pc. Espanha;38,7378807067871;-9,15848827362061;T;Y;Y;1506
771;Av. Madame Curie;Av. Madame Curie;38,7383308410645;-9,16196155548096;T;Y;Y;1507
772;Pc. Espanha;Pc. Espanha;38,7380294799805;-9,15858554840088;T;Y;Y;1508
773;R. Filipe Mata;R. Filipe Mata;38,7412300109863;-9,15988063812256;T;Y;Y;1509
774;Av. Madame Curie;Av. Madame Curie;38,7381591796875;-9,16184425354004;T;Y;Y;1510
775;Odivelas (B.º Dr. Lima Pimentel);Odivelas (B.º Dr. Lima Pimentel);38,7860984802246;-9,1832103729248;T;Y;Y;15101
776;Bombeiros Odivelas;Bombeiros Odivelas;38,7874183654785;-9,17974472045898;T;Y;Y;15102
777;Bombeiros Odivelas;Bombeiros Odivelas;38,7874183654785;-9,17949485778809;T;Y;Y;15103
778;Esc. Prep. Odivelas;Esc. Prep. Odivelas;38,7894515991211;-9,17719078063965;T;Y;Y;15104
779;Patameiras (terminal);Patameiras (terminal);38,7846183776855;-9,18610763549805;T;Y;Y;15105
780;ODIVELAS - Bº DR.LIMA PIMENTEL;ODIVELAS - Bº DR.LIMA PIMENTEL;38,7863655090332;-9,18307018280029;T;Y;Y;15106
781;Esc. Prep. Odivelas;Esc. Prep. Odivelas;38,7898597717285;-9,17641067504883;T;Y;Y;15107
782;ODIVELAS - PATAMEIRAS;ODIVELAS - PATAMEIRAS;38,7847709655762;-9,18550300598145;T;Y;Y;15108
783;Av. Calouste Gulbenkian (Viaduto);Av. Calouste Gulbenkian (Viaduto);38,7361106872559;-9,16022777557373;T;Y;Y;1511
784;R. Filipe Mata;R. Filipe Mata;38,7413101196289;-9,16029071807861;T;Y;Y;1512
785;R. Tenente Espanca;R. Tenente Espanca;38,739246;-9,155317;T;Y;Y;1513
786;Av. Calouste Gulbenkian (Viaduto);Av. Calouste Gulbenkian (Viaduto);38,7362289428711;-9,16072559356689;T;Y;Y;1514
787;Av. Jose Malhoa (Polícia Municipal);Av. Jose Malhoa (Polícia Municipal);38,7364196777344;-9,16095638275146;T;Y;Y;1515
788;ESC. PREP. ODIVELAS;ESC. PREP. ODIVELAS;38,7901191711426;-9,17555332183838;T;Y;Y;15150
789;ESC. PREP. ODIVELAS;ESC. PREP. ODIVELAS;38,789981842041;-9,17571067810059;T;Y;Y;15151
790;AV. ABREU LOPES;AV. ABREU LOPES;38,7922859191895;-9,1771354675293;T;Y;Y;15152
791;AV. ABREU LOPES;AV. ABREU LOPES;38,7926826477051;-9,17750263214111;T;Y;Y;15153
792;ESC. SEC. ODIVELAS;ESC. SEC. ODIVELAS;38,7943992614746;-9,179443359375;T;Y;Y;15154
793;ESC. SEC. ODIVELAS;ESC. SEC. ODIVELAS;38,7943801879883;-9,1796989440918;T;Y;Y;15155
794;ODIVELAS - QTA.MENDES;ODIVELAS - QTA.MENDES;38,7942733764648;-9,18228721618652;T;Y;Y;15156
795;ODIVELAS - QTA.MENDES;ODIVELAS - QTA.MENDES;38,7951126098633;-9,18280029296875;T;Y;Y;15157
796;R. Ramalho Ortigão;R. Ramalho Ortigão;38,735931;-9,157427;T;Y;Y;1516
797;AV JOSE MALHOA - POLICIA MUN;AV JOSE MALHOA - POLICIA MUN;38,7363471984863;-9,16057777404785;T;Y;Y;1517
798;AV JOSE MALHOA - POLICIA MUN;AV JOSE MALHOA - POLICIA MUN;38,7362098693848;-9,16097164154053;T;Y;Y;1518
799;Pc. DE ESPANHA;Pc. DE ESPANHA;38,7381706237793;-9,15676021575928;T;Y;Y;1519
800;Fetais;Fetais;38,7980995178223;-9,14542102813721;T;Y;Y;16001
801;Az. Fetais;Az. Fetais;38,7985191345215;-9,14728260040283;T;Y;Y;16002
802;Az. Fetais;Az. Fetais;38,798698425293;-9,14764976501465;T;Y;Y;16003
803;Fonte Pipa;Fonte Pipa;38,7960014343262;-9,1493673324585;T;Y;Y;16004
804;Fonte Pipa;Fonte Pipa;38,7959518432617;-9,14951705932617;T;Y;Y;16005
805;R. Dr. Antonio Granjo;R. Dr. Antonio Granjo;38,7388381958008;-9,16461181640625;T;Y;Y;1601
806;R. Dr. Antonio Granjo;R. Dr. Antonio Granjo;38,738639831543;-9,16459083557129;T;Y;Y;1602
807;Sete Rios;Sete Rios;38,7425804138184;-9,16829967498779;T;Y;Y;1603
808;Sete Rios;Sete Rios;38,7425498962402;-9,16860008239746;T;Y;Y;1604
809;Esc. D. Pedro V;Esc. D. Pedro V;38,7411994934082;-9,16327857971191;T;Y;Y;1605
810;Sete Rios;Sete Rios;38,741870880127;-9,16970443725586;T;Y;Y;1606
811;Sete Rios;Sete Rios;38,742000579834;-9,16977024078369;T;Y;Y;1607
812;Esc. D. Pedro V;Esc. D. Pedro V;38,7412185668945;-9,162522315979;T;Y;Y;1608
813;Sete Rios;Sete Rios;38,7420883178711;-9,16958332061768;T;Y;Y;1609
